symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
JUNIORBEES,INF732E01045,2024-11-07,NSE,EQ,EQ,buy,false,1.000000,754.730000,405226885,1200000034482290,2024-11-07T11:51:00
JUNIORBEES,INF732E01045,2024-11-07,BSE,EQ,B,buy,false,1.000000,754.000000,4181900,1730959043354241060,2024-11-07T11:51:27
NIFTYBEES,INF204KB14I2,2024-11-07,NSE,EQ,EQ,buy,false,10.000000,270.900000,405246007,1200000034630129,2024-11-07T11:52:14
TATACONSUM,INE192A01025,2024-11-07,BSE,EQ,A,buy,false,1.000000,991.600000,1739900,1730954443001969839,2024-11-07T11:52:37
GOLDBEES,INF204KB17I5,2024-11-07,NSE,EQ,EQ,buy,false,10.000000,64.200000,204830984,1100000030989087,2024-11-07T11:54:53
IRCTC,INE335Y01020,2024-11-07,BSE,EQ,A,buy,false,1.000000,847.200000,83559300,1730960093231952380,2024-11-07T11:55:48
ICICIBANK,INE090A01021,2024-11-07,BSE,EQ,A,buy,false,1.000000,1279.300000,1764900,1730959987958098908,2024-11-07T11:57:33
ITBEES,INF204KB15V2,2024-11-07,NSE,EQ,EQ,buy,false,10.000000,44.700000,405514090,1200000035397985,2024-11-07T11:58:11
GOLDBEES,INF204KB17I5,2024-11-07,NSE,EQ,EQ,buy,false,15.000000,64.300000,206973307,1100000042049450,2024-11-07T13:38:15
NIFTYBEES,INF204KB14I2,2024-11-08,NSE,EQ,EQ,buy,false,1.000000,270.260000,403545870,1200000024884021,2024-11-08T11:03:42
NIFTYBEES,INF204KB14I2,2024-11-08,NSE,EQ,EQ,buy,false,15.000000,270.250000,403576076,1200000024998941,2024-11-08T11:04:27
NIFTYBEES,INF204KB14I2,2024-11-08,BSE,EQ,B,buy,false,2.000000,270.250000,3401400,1731040012062746415,2024-11-08T11:08:55
ASIANPAINT,INE021A01026,2024-11-08,NSE,EQ,EQ,buy,false,1.000000,2768.000000,4107805,1000000030003415,2024-11-08T12:56:10
BAJFINANCE,INE296A01024,2024-11-08,NSE,EQ,EQ,buy,false,1.000000,6844.000000,4119044,1000000030109656,2024-11-08T12:57:22
NIFTYBEES,INF204KB14I2,2024-11-19,NSE,EQ,EQ,buy,false,2.000000,264.100000,407953859,1200000049257821,2024-11-19T14:58:11
NIFTYBEES,INF204KB14I2,2024-11-21,BSE,EQ,B,buy,false,5.000000,261.300000,4497500,1732163463950202495,2024-11-21T10:15:25
NIFTYBEES,INF204KB14I2,2024-11-21,BSE,EQ,B,buy,false,5.000000,261.300000,4502600,1732163463950202495,2024-11-21T10:15:25
NESTLEIND,INE239A01024,2024-12-05,NSE,EQ,EQ,buy,false,2.000000,2238.150000,402052768,1200000011552033,2024-12-05T09:51:18
HINDUNILVR,INE030A01027,2024-12-05,BSE,EQ,A,buy,false,1.000000,2460.000000,2919800,1733369400018452362,2024-12-05T09:52:55
RELIANCE,INE002A01018,2024-12-05,BSE,EQ,A,buy,false,1.000000,1308.100000,1975800,1733369400014876639,2024-12-05T09:53:34
